Formula,Name,Page number
C2HCI3Iig],TRICHLOROETHYLENE (GAS),325
C3H4[PY][g],PROPYNE (GAS),290
C2H2Cl2[g],DICHLOROETHYLENE (GAS),326
C3HE[g],CYCLOPROPANE (GAS},291
"C2H2Cl21,1][g}"," 1,1-DICHLOROETHYLENE (GAS)",327
C3HE6/PI[g],PROPENE (GAS),291
C2H2Cl2I[cis][g},CIS-DICHLOROETHYLENE (GAS),328
C3H8[g],PROPANE (GAS),292
C2H2Cl2{trans}ig],TRANS-DICHLROROETHYLENE (GAS),329
C4H6[g],BUT-1-YNE (GAS),292
C2H3Cl(g],CHLOROETHENE (GAS),330
C4H8[g],CYCLOBUTANE (GAS),293
C2H5Clig],CHLOROETHANE (GAS),330
C4H8[I][g],2-METHYLPROP-1-ENE (GAS),293
CHCIBr2[g],CHLORODIBROMOMETHANE (GAS},331
C4H10{g],BUTANE (GAS),294
CHCI2Br{g],DICHLOROBROMOMETHANE (GAS),332
C5HE8/g],CYCLOPENTENE (GAS),294
CH2CIBr{g],CHLOROBROMOMETHANE (GAS),333
C5H8/PIig],"PENTA-1,2-DIENE (GAS)",295
CHCIBrl[g],CHLOROBROMOIODOMETHANE (GAS),334
C5H10{g],CYCLOPENTANE (GAS),295
CHCI2,[g] CHLORODIIODOMETHANE (GAS),335
C5H12{g],PENTANE (GAS),296
CHCl2I[g],DICHLOROIODOMETHANE (GAS),336
C6H6,BENZENE,296
CH2CIi[g],CHLORO!IODOMETHANE (GAS),337
C6HE[g],BENZENE (GAS),297
C12H4CI402[g],"—2, 3, 7, 8- TETRACHLORODIBENZEDIOXIN",338
C6H10,CYCLOHEXENE,297
C12H4CI402[g],C6H10{g] CYCLOHEXENE (GAS),298
(GAS),,339
C6H12,CYCLOHEXANE,298
CHFig],FLUOROMETHYLENE (GAS),340
C6H12{[g},CYCLOHEXANE (GAS),299
CHF2[g],DIFLUOROMETHYL (GAS),341
C6H12[M],METHYLCYCLOPENTANE,299
CHF3{g],TRIFLUOROMETHANE (GAS),342
C6H12[MI[g],METHYLCYCLOPENTANE (GAS},300
CH2F{g),FLUOROMETHYL (GAS),343
C6H14,HEXANE,300
CH2F2[g],DIFLUOROMETHANE (GAS),344
CH3F{g],FLUOROMETHANE (GAS),345
Cl2[g],CARBON DIIODIDE (GAS),395
C2HF{g],FLUOROACETYLENE (GAS),346
CI3{g],CARBON TRIIODIDE (GAS),396
C2HF3[g],TRIFLUOROETHYLENE (GAS),347
Cl4{g],CARBON TETRAIODIDE (GAS),397
C2H2F2/g],DIFLUOROETHYLENE (GAS),348
CNIigl,CYANOGEN (GAS),398
"C2H2F2[1,1][g]","1,1-DIFLUOROETHYLENE (GAS)",349
CN2{g],CARBON NITRIDE (NCN RADICAL) (GAS),399
C2H2F2{[cis][g],CIS-DIFLUOROETHYLENE (GAS),350
C2N2g],ETHANEDINITRILE (GAS),400
C2H2F2[trans][g],| TRANS-DIFLUOROETHYLENE (GAS),351
CNC{g],NITROGEN DICARBIDE (GAS),401
C2H3F{g],FLUOROETHYLENE (GAS),352
CNNig],NITROGEN CARBIDE-NITRIDE (GAS),402
CHFBr2[g],FLUORODIBROMOMETHANE (GAS),353
COfg),CARBON MONOXIDE (GAS),403
CHF2Br{g],DIFLUOROBROMOMETHANE (GAS),354
Co2aig],CARBON DIOXIDE (GAS),404
CH2FBri{g],FLUOROBROMOMETHANE (GAS),355
C20{g],DICARBON OXIDE (GAS),405
CHFBrl[g],FLUOROBROMOIODOMETHANE (GAS),356
C302(g],TRICARBON DIOXIDE (GAS),406
CHFC\[g],FLUOROCHLOROMETHYL (GAS),357
COCI{g],CARBONYL CHLORIDE (GAS),407
CHFCI2[g],FLUORODICHLOROMETHANE (GAS),358
COCI2[g],CARBONIC DICHLORIDE (PHOSGEN),408
CHF2C\[g],DIFLUOROCHLOROMETHANE (GAS),359
COF|g],CARBONYL FLUORIDE (GAS),409
CH2FCi{g],FLUOROCHLOROMETHANE (GAS),360
COF2{[g],CARBONIC DIFLUORIDE (GAS),410
C2HFCI2{g],FLUORODICHLOROETHYLENE (GAS),361
COOHg],CARBOXYL (GAS),411
C2HFCI2H,",1][g] 1,1-FLUORODICHLOROETHYLENE (GAS)",362
COS{g],CARBON OXIDE SULFIDE (GAS),412
C2HFCl2[cis]ig],CIS-FLUORODICHLOROETHYLENE (GAS),363
CPig],CARBON PHOSPHIDE (GAS),413
C2HFCl2{trans][g},© TRANS-FLUORODICHLOROETHYLENE CSig] CARBON MONOSULFIDE (GAS),414
(GAS),,364
CS2[g],CARBON DISULFIDE (GAS),415
C2HF2Cl[g],DIFLUOROCHLOROETHYLENE (GAS),365
Ca,CALCIUM,416
"C2HF2CI[1,","1][g] 1,1-DIFLUOROCHLOROETHYLENE (GAS)",366
Ca{g],CALCIUM (GAS),417
C2HF2Cl[cis][g],CiS-DIFLUOROCHLOROETHYLENE (GAS),367
Ca3(As04)2,CALCIUM ARSENATE,418
C2HF2Cl[trans][g],© TRANS-DIFLUOROCHLOROETHYLENE CaBrig] CALCIUM MONOBROMIDE (GAS),419
(GAS),,368
CaBr2,CALCIUM BROMIDE,420
C2H2FClig],FLUOROCHLOROETHYLENE (GAS),369
CaBre{g],CALCIUM BROMIDE (GAS),421
"C2H2FCI[1,1][g]","1,1-FLUOROCHLOROETHYLENE (GAS)",370
CaC2,CALCIUM DICARBIDE,422
C2H2FC\{cis][g],CIS-FLUOROCHLOROETHYLENE (GAS),371
CaCN2,CALCIUM CYANAMIDE,423
C2H2FCi[trans][g],TRANS-FLUOROCHLOROETHYLENE (GAS),372
CaCO3,CALCIUM CARBONATE (CALCITE),423
CHFCIBr{g],FLUOROCHLOROBROMOMETHANE (GAS),373
CaCO3Aj,CALCIUM CARBONATE (ARAGONITE),424
CHFCIi[g],FLUOROCHLOROIODOMETHANE (GAS),374
CaMg(CO3)2,DOLOMITE,424
CHFI2{g],FLUORODIIODOMETHANE (GAS),375
CaCl[g],CALCIUM MONOCHLORIDE (GAS),425
CHFal[g],DIFLUOROIODOMETHANE (GAS),376
CaCl2,CALCIUM CHLORIDE,426
CH?FIfg],FLUOROIODOMETHANE (GAS),377
CaCl2{g],CALCIUM CHLORIDE (GAS),427
CHI3{g],TRIIODOMETHANE (GAS),378
CaF{g],CALCIUM MONOFLUORIDE (GAS),428
CH2I2[g],DIIODOMETHANE (GAS),379
CaF2,CALCIUM FLUORIDE,429
CH3I[g],IODOMETHANE (GAS),380
CaF2{[g],CALCIUM FLUORIDE (GAS),430
CHOj{g],OXOMETHYL (GAS),381
CaH{[g],CALCIUM MONOHYDRIDE (GAS),431
CH20{g],FORMALDEHYDE (GAS),382
CaH2,CALCIUM HYDRIDE,432
CH202,FORMIC ACID,382
CaHPO4,CALCIUM HYDROGEN PHOSPHATE,433
CH202{g],FORMIC ACID (GAS),383
CaHPO4*2H20,CALCIUM HYDROGEN PHOS. DIHYDRATE,433
CH30[g],CARBON OXIDE-TRIHYDRIDE (GAS),384
Calfg],CALCIUM MONOIODIDE (GAS),434
