Formula,Name,Page number,bare_formula,phase_tag,reduced_formula,material_id,match_method,phase_name_verified,spacegroup
CHF2I[g],DIFLUOROIODOMETHANE (GAS),376,CHF2I,g,,,gas_phase_organic,,
CH2FI[g],FLUOROIODOMETHANE (GAS),377,CH2FI,g,,,gas_phase_organic,,
CHI3[g],TRIIODOMETHANE (GAS),378,CHI3,g,,,gas_phase_organic,,
CH2I2[g],DIIODOMETHANE (GAS),379,CH2I2,g,,,gas_phase_organic,,
CH3I[g],IODOMETHANE (GAS),380,CH3I,g,,,gas_phase_organic,,
CHO[g],OXOMETHYL (GAS),381,CHO,g,,,gas_phase_organic,,
CH2O[g],FORMALDEHYDE (GAS),382,CH2O,g,,,gas_phase_organic,,
CH2O2[g],FORMIC ACID (GAS),383,CH2O2,g,,,gas_phase_organic,,
CH3O[g],CARBON OXIDE-TRIHYDRIDE (GAS),384,CH3O,g,,,gas_phase_organic,,
CH4O[g],METHANOL (GAS),386,CH4O,g,,,gas_phase_organic,,
C2H2O[g],ETHENONE (KETENE) (GAS),386,C2H2O,g,,,gas_phase_organic,,
C2H4O[g],ACETALDEHYDE (GAS),387,C2H4O,g,,,gas_phase_organic,,
C2H4O2[g],ACETIC ACID (GAS),388,C2H4O2,g,,,gas_phase_organic,,
C2H6O[g],ETHANOL (GAS),389,C2H6O,g,,,gas_phase_organic,,
C3H6O[g],ACETONE (GAS),390,C3H6O,g,,,gas_phase_organic,,
C6H6O[g],PHENOL (GAS),391,C6H6O,g,,,gas_phase_organic,,
CH2OH[g],CARBON DIHYDRIDE-HYDROXIDE (GAS),392,CH2OH,g,,,gas_phase_organic,,
COOH[g],CARBOXYL (GAS),411,COOH,g,,,gas_phase_organic,,
