Formula,Name,Page number
Np,NEPTUNIUM,1231
Np[g],NEPTUNIUM (GAS),1233
NpCl3,NEPTUNIUM TRICHLORIDE,1234
NpCl4,NEPTUNIUM TETRACHLORIDE,1234
NpF3,NEPTUNIUM TRIFLUORIDE,1235
NpF6,NEPTUNIUM HEXAFLUORIDE,1235
NpF6[g],NEPTUNIUM HEXAFLUORIDE (GAS),1236
NpO2,NEPTUNIUM DIOXIDE,1236
NpOCl2,NEPTUNIUM DICHLORIDE OXIDE,1237
NpO3*H2O,NEPTUNIUM TRIOXIDE HYDRATE,1237
O[g],OXYGEN (GAS),1238
O2[g],OXYGEN (GAS),1239
O3[g],OZONE (GAS),1240
OD[g],HYDROXYL-D1 (GAS),1241
OF2[g],OXYGEN DIFLUORIDE (GAS),1242
OH[g],HYDROXYL (GAS),1243
Os,OSMIUM,1244
Os[g],OSMIUM (GAS),1246
OsO2,OSMIUM DIOXIDE,1247
OsO4,OSMIUM TETRAOXIDE (YELLOW),1248
OsO4[g],OSMIUM TETRAOXIDE (GAS),1248
OsP2,OSMIUM DIPHOSPHIDE,1249
OsS2,OSMIUM DISULFIDE,1249
OsSe2,OSMIUM DISELENIDE,1250
P,PHOSPHORUS (WHITE),1250
P[g],PHOSPHORUS (GAS),1251
P[R],PHOSPHORUS (RED),1251
P2[g],PHOSPHORUS (GAS),1252
P4[g],PHOSPHORUS (GAS),1253
PBr3[g],PHOSPHORUS TRIBROMIDE (GAS),1254
PCl3[g],PHOSPHORUS TRICHLORIDE (GAS),1255
PCl5[g],PHOSPHORUS PENTACHLORIDE (GAS),1256
PF3[g],PHOSPHORUS TRIFLUORIDE (GAS),1257
PF5[g],PHOSPHORUS PENTAFLUORIDE (GAS),1258
PH3[g],PHOSPHINE (GAS),1259
PI3[g],PHOSPHORUS TRIIODIDE (GAS),1259
PN[g],PHOSPHORUS MONONITRIDE (GAS),1260
PO[g],PHOSPHORUS MONOXIDE (GAS),1261
PO2[g],PHOSPHORUS DIOXIDE (GAS),1262
P2O5,DIPHOSPHORUS PENTAOXIDE (LIQUID),1263
P4O6[g],TETRAPHOSPHORUS HEXAOXIDE (GAS),1264
P4O10,TETRAPHOSPHORUS DECAOXIDE,1264
P4O10[g],TETRAPHOSPHORUS DECAOXIDE (GAS),1265
POBr3[g],PHOSPHORUS TRIBROMIDE OXIDE (GAS),1266
POCl3,PHOSPHORUS TRICHLORIDE OXIDE,1266
POCl3[g],PHOSPHORUS TRICHLORIDE OXIDE (GAS),1267
PS[g],PHOSPHORUS MONOSULFIDE (GAS),1268
P4S3,TETRAPHOSPHORUS TRISULFIDE,1268
P4S5,TETRAPHOSPHORUS PENTASULFIDE,1269
P4S6,TETRAPHOSPHORUS HEXASULFIDE,1269
P4S7,TETRAPHOSPHORUS HEPTASULFIDE,1270
P4S10,TETRAPHOSPHORUS DECASULFIDE,1270
Pa,PROTACTINIUM,1271
Pa[g],PROTACTINIUM (GAS),1272
Pb,LEAD,1273
Pb[g],LEAD (GAS),1274
Pb2[g],LEAD (GAS),1275
Pb3(AsO4)2,LEAD ARSENATE,1275
PbBr[g],LEAD MONOBROMIDE (GAS),1276
PbBr2,LEAD DIBROMIDE,1277
PbBr2[g],LEAD DIBROMIDE (GAS),1278
PbBr4[g],LEAD TETRABROMIDE (GAS),1279
PbCO3,LEAD CARBONATE,1279
PbCl[g],LEAD MONOCHLORIDE (GAS),1280
PbCl2,LEAD DICHLORIDE,1281
PbCl2[g],LEAD DICHLORIDE (GAS),1282
PbCl4[g],LEAD TETRACHLORIDE (GAS),1283
PbF[g],LEAD MONOFLUORIDE (GAS),1284
PbF2,LEAD DIFLUORIDE,1285
PbF2[g],LEAD DIFLUORIDE (GAS),1286
PbF4[g],LEAD TETRAFLUORIDE (GAS),1287
PbH[g],LEAD MONOHYDRIDE (GAS),1288
PbI[g],LEAD MONOIODIDE (GAS),1289
PbI2,LEAD DIIODIDE,1290
PbI2[g],LEAD DIODIDE (GAS),1291
PbI4[g],LEAD TETRAIODIDE (GAS),1292
Pb2I4[g],DILEAD TETRAIODIDE (GAS),1292
PbMoO4,LEAD MOLYBDATE,1293
PbO,"LEAD OXIDE (YELLOW, MASSICOT)",1294
PbO[g],LEAD OXIDE (GAS),1295
PbO[R],LEAD OXIDE (RED),1295
PbO2,LEAD DIOXIDE,1296
Pb3O4,TRILEAD TETRAOXIDE,1296
PbB2O4,LEAD DIBORATE,1297
PbB4O7,LEAD TETRABORATE,1297
PbO*PbCO3,DILEAD OXIDE CARBONATE,1298
PbO*PbSO4,DILEAD OXIDE SULFATE,1298
2PbO*PbSO4,TRILEAD DIOXIDE SULFATE,1299
3PbO*PbSO4,TETRALEAD TRIOXIDE SULFATE,1299
4PbO*PbS04,PENTALEAD TETRAOXIDE SULFATE,1300
PbSiO3,LEAD METASILICATE,1300
Pb2SiO4,DILEAD ORTHOSILICATE,1301
Pb4SiO6,TETRALEAD SILICATE,1302
PbTiO3,LEAD TITANIUM TRIOXIDE,1303
PbS,LEAD SULFIDE,1304
PbS[g],LEAD SULFIDE (GAS),1305
PbSO4,LEAD SULFATE,1306
PbSe,LEAD SELENIDE,1307
PbSe[g],LEAD SELENIDE (GAS),1308
PbSeO3,LEAD SELENITE,1308
PbSeO4,LEAD SELENATE,1309
PbTe,LEAD TELLURIDE,1309
PbTe[g],LEAD TELLURIDE (GAS),1310
PbWO4,LEAD TUNGSTATE,1310
Pd,PALLADIUM,1311
Pd[g],PALLADIUM (GAS),1312
PdCl2,PALLADIUM CHLORIDE,1313
PdF2,PALLADIUM FLUORIDE,1313
PdI2,PALLADIUM IODIDE,1314
PdO,PALLADIUM OXIDE,1314
PdS,PALLADIUM SULFIDE,1315
PdS2,PALLADIUM DISULFIDE,1315
Pd4S,TETRAPALLADIUM SULFIDE,1316
PdTe,PALLADIUM TELLURIDE,1316
Pr,PRASEODYMIUM,1317
Pr[g],PRASEODYMIUM (GAS),1318
PrBr3,PRASEODYMIUM BROMIDE,1319
PrBr3[g],PRASEODYMIUM BROMIDE (GAS),1320
PrCl3,PRASEODYMIUM CHLORIDE,1321
PrCl3[g],PRASEODYMIUM CHLORIDE (GAS),1322
PrF3,PRASEODYMIUM FLUORIDE,1323
PrF3[g],PRASEODYMIUM FLUORIDE (GAS),1324
PrH2,PRASEODYMIUM DIHYDRIDE,1324
PrI3,PRASEODYMIUM IODIDE,1325
PrI3[g],PRASEODYMIUM IODIDE (GAS),1326
PrO1.833,PRASEODYMIUM 1.833-OXIDE,1326
PrO2,PRASEODYMIUM DIOXIDE,1327
Pr2O3,PRASEODYMIUM OXIDE,1327
Pr7O12,7-PRASEODYMIUM 12-OXIDE,1328
PrS,PRASEODYMIUM MONOSULFIDE,1328
Pr3S4,TRIPRASEODYMIUM TETRASULFIDE,1329
Pt,PLATINUM,1330
Pt[g],PLATINUM (GAS),1331
PtBr3,PLATINUM TRIBROMIDE,1332
PtBr2,PLATINUM DIBROMIDE,1332
PtBr4,PLATINUM TETRABROMIDE,1333
PtCl2,PLATINUM DICHLORIDE,1333
PtCl3,PLATINUM TRICHLORIDE,1334
PtCl4,PLATINUM TETRACHLORIDE,1334
PtI4,PLATINUM TETRAIODIDE,1335
PtO2[g],PLATINUM DIOXIDE (GAS),1335
PtS,PLATINUM MONOSULFIDE,1336
PtS2,PLATINUM DISULFIDE,1336
Pt5Se4,PENTAPLATINUM TETRASELENIDE,1337
Pu,PLUTONIUM,1338
Pu[g],PLUTONIUM (GAS),1340
PuBr3,PLUTONIUM TRIBROMIDE,1341
PuC0.88,PLUTONIUM 0.88-CARBIDE,1342
PuC2,PLUTONIUM DICARBIDE,1343
Pu2C3,DIPLUTONIUM TRICARBIDE,1344
PuCl3,PLUTONIUM TRICHLORIDE,1345
PuF3,PLUTONIUM TRIFLUORIDE,1346
PuF4,PLUTONIUM TETRAFLUORIDE,1347
PuF6,PLUTONIUM HEXAFLUORIDE,1347
PuF6[g],PLUTONIUM HEXAFLUORIDE (GAS),1348
PuH2,PLUTONIUM DIHYDRIDE,1348
PuH3,PLUTONIUM TRIHYDRIDE,1349
PuI3,PLUTONIUM TRIODIDE,1349
PuN,PLUTONIUM NITRIDE,1350
PuO,PLUTONIUM OXIDE,1351
PuO2,PLUTONIUM DIOXIDE,1352
Pu2O3,DIPLUTONIUM TRIOXIDE (ALPHA),1353
Pu2O3[B],DIPLUTONIUM TRIOXIDE (BETA),1354
PuOBr,PLUTONIUM BROMIDE OXIDE,1354
PuOCl,PLUTONIUM CHLORIDE OXIDE,1355
PuOF,PLUTONIUM FLUORIDE OXIDE,1355
PuOI,PLUTONIUM IODIDE OXIDE,1356
PuS,PLUTONIUM MONOSULFIDE,1357
Pu2S3,DIPLUTONIUM TRISULFIDE,1358
Pu(SO4)2,PLUTONIUM DISULFATE,1358
Rb,RUBIDIUM,1359
Rb[g],RUBIDIUM (GAS),1360
Rb2[g],RUBIDIUM (GAS),1361
Rb3AsO4,RUBIDIUM ARSENATE,1362
RbBr,RUBIDIUM BROMIDE,1362
RbBr[g],RUBIDIUM BROMIDE (GAS),1363
Rb2CO3,RUBIDIUM CARBONATE,1364
RbCl,RUBIDIUM CHLORIDE,1365
RbCl[g],RUBIDIUM CHLORIDE (GAS),1366
Rb2Cl2[g],DIRUBIDIUM DICHLORIDE (GAS),1367
RbF,RUBIDIUM FLUORIDE,1368
RbF[g],RUBIDIUM FLUORIDE (GAS),1369
Rb2F2[g],DIRUBIDIUM DIFLUORIDE (GAS),1370
RbI,RUBIDIUM IODIDE,1371
RbI[g],RUBIDIUM IODIDE (GAS),1372
RbO2,RUBIDIUM PEROXIDE,1373
Rb2O,RUBIDIUM OXIDE,1374
Rb2SiO3,RUBIDIUM METASILICATE,1375
Rb2Si2O5,RUBIDIUM DISILICATE,1376
Rb2Si4O9,RUBIDIUM TETRASILICATE,1377
Rb2SO4,RUBIDIUM SULFATE,1378
Re,RHENIUM,1379
Re[g],RHENIUM (GAS),1381
Re3As7,TRIRHENIUM HEPTAARSENIDE,1382
ReAsO4,RHENIUM ARSENATE,1383
ReBr3,RHENIUM TRIBROMIDE,1383
ReCl3,RHENIUM TRICHLORIDE,1384
ReO2,RHENIUM DIOXIDE,1384
ReO3,RHENIUM TRIOXIDE,1385
Re2O7,DIRHENIUM HEPTAOXIDE,1385
ReS2,RHENIUM DISULFIDE,1386
Re2S7,DIRHENIUM HEPTASULFIDE,1386
ReSi,RHENIUM SILICON,1387
ReSi2,RHENIUM 2-SILICON,1387
Re5Si3,5-RHENIUM 3-SILICON,1388
Re2Te5,DIRHENIUM PENTATELLURIDE,1388
Re2Y,2-RHENIUM YTTRIUM,1389
Rh,RHODIUM,1390
Rh[g],RHODIUM (GAS),1391
RhCl2[g],RHODIUM DICHLORIDE (GAS),1392
RhCl3,RHODIUM TRICHLORIDE,1392
RhO2[g],RHODIUM DIOXIDE (GAS),1393
Rh2O3,DIRHODIUM TRIOXIDE,1394
Rh3U,3-RHODIUM URANIUM,1394
Rn[g],RADON (MONOATOMIC GAS),1395
Ru,RUTHENIUM,1396
Ru[g],RUTHENIUM (GAS),1397
RuCl3,RUTHENIUM TRICHLORIDE,1398
RuCl3[g],RUTHENIUM TRICHLORIDE (GAS),1398
RuCl4[g],RUTHENIUM TETRACHLORIDE (GAS),1399
RuF5,RUTHENIUM PENTAFLUORIDE,1399
RuO2,RUTHENIUM DIOXIDE,1400
RuO3[g],RUTHENIUM TRIOXIDE (GAS),1400
RuO4[g],RUTHENIUM TETROXIDE (GAS),1401
RuS2,RUTHENIUM DISULFIDE,1401
RuSe2,RUTHENIUM DISELENIDE,1402
Ru3U,3-RUTHENIUM URANIUM,1402
S,"SULFUR (RHOMBIC, MONOCLINIC)",1403
S[g],SULFUR (GAS),1404
S2[g],SULFUR (GAS),1405
S3[g],SULFUR (GAS),1406
S4[g],SULFUR (GAS),1407
S5[g],SULFUR (GAS),1408
S6[g],SULFUR (GAS),1409
S7[g],SULFUR (GAS),1410
S8[g],SULFUR (GAS),1411
SBr2[g],SULFUR DIBROMIDE (GAS),1412
S2Br2[g],DISULFUR DIBROMIDE (GAS),1413
SCl[g],SULFUR MONOCHLORIDE (GAS),1414
SCl2[g],SULFUR DICHLORIDE (GAS),1415
S2Cl[g],DISULFUR CHLORIDE RADICAL (GAS),1416
S2Cl2,DISULFUR DICHLORIDE,1416
S2Cl2[g],DISULFUR DICHLORIDE (GAS),1417
SF[g],SULFUR MONOFLUORIDE (GAS),1417
SF2[g],SULFUR DIFLUORIDE (GAS),1418
SF3[g],SULFUR TRIFLUORIDE (GAS),1419
SF4[g],SULFUR TETRAFLUORIDE (GAS),1420
SF5[g],SULFUR PENTAFLUORIDE (GAS),1421
SF6[g],SULFUR HEXAFLUORIDE (GAS),1422
SSF2[g],SULFINOTHIOYL DIFLUORIDE (GAS),1423
S2F10[g],DISULFUR DECAFLUORIDE (GAS),1424
SN[g],SULFUR MONONITRIDE (GAS),1425
SO[g],SULFUR MONOXIDE (GAS),1426
SO2[g],SULFUR DIOXIDE (GAS),1427
SO3[g],SULFUR TRIOXIDE (GAS),1428
S2O[g],DISULFUR OXIDE (GAS),1429
SOCl2[g],SULFINYL DICHLORIDE (GAS),1430
SO2Cl2[g],SULFONYL DICHLORIDE (GAS),1430
SOF2[g],SULFINYL DIFLUORIDE (GAS),1431
SO2F2[g],SULFONYL DIFLUORIDE (GAS),1432
Sb,ANTIMONY,1433
Sb[g],ANTIMONY (GAS),1434
Sb2[g],ANTIMONY (GAS),1435
Sb4[g],ANTIMONY (GAS),1436
SbBr3,ANTIMONY TRIBROMIDE,1436
SbBr3[g],ANTIMONY TRIBROMIDE (GAS),1437
SbCl[g],ANTIMONY MONOCHLORIDE (GAS),1437
SbCl3,ANTIMONY TRICHLORIDE,1438
SbCl3[g],ANTIMONY TRICHLORIDE (GAS),1438
SbCl5[g],ANTIMONY PENTACHLORIDE (GAS),1439
SbF[g],ANTIMONY MONOFLUORIDE (GAS),1439
SbF3,ANTIMONY TRIFLUORIDE,1440
SbF3[g],ANTIMONY TRIFLUORIDE (GAS),1440
SbH3[g],ANTIMONY TRIHYDRIDE (GAS),1441
SbI3,ANTIMONY TRIIODIDE,1441
SbI3[g],ANTIMONY TRIIODIDE (GAS),1442
SbO[g],ANTIMONY OXIDE (GAS),1442
Sb2O3,DIANTIMONY TRIOXIDE (CUBIC),1443
Sb2O3[O],DIANTIMONY TRIOXIDE (ORTHORHOMBIC),1444
Sb2O4,DIANTIMONY TETRAOXIDE,1444
Sb2O5,DIANTIMONY PENTAOXIDE,1445
Sb4O6[g],TETRAANTIMONY HEXAOXIDE (GAS),1445
SbOCl,ANTIMONY CHLORIDE OXIDE,1446
SbS[g],ANTIMONY SULFIDE (GAS),1446
Sb2S3,DIANTIMONY TRISULFIDE (BLACK),1447
Sb2S3[g],DIANTIMONY TRISULFIDE (GAS),1447
Sb2S4[g],DIANTIMONY TETRASULFIDE (GAS),1448
Sb3S2[g],TRIANTIMONY DISULFIDE (GAS),1449
Sb2(SO4)3,DIANTIMONY TRISULFATE,1450
Sb4S3[g],TETRAANTIMONY TRISULFIDE (GAS),1450
SbSe[g],ANTIMONY SELENIDE (GAS),1451
Sb2Se3,DIANTIMONY TRISELENIDE,1451
Sb2Te3,DIANTIMONY TRITELLURIDE,1452
SbZn,ANTIMONY ZINC,1452
Sc,SCANDIUM,1453
Sc[g],SCANDIUM (GAS),1454
ScAsO4,SCANDIUM ARSENATE,1455
ScBr3,SCANDIUM BROMIDE,1455
ScCl3,SCANDIUM CHLORIDE,1456
ScF3,SCANDIUM FLUORIDE,1457
ScF3[g],SCANDIUM FLUORIDE (GAS),1458
ScN,SCANDIUM NITRIDE,1459
Sc2O3,SCANDIUM OXIDE,1460
Se,SELENIUM,1461
Se[g],SELENIUM (GAS),1461
Se2[g],SELENIUM (GAS),1462
Se3[g],SELENIUM (GAS),1463
Se4[g],SELENIUM (GAS),1464
Se5[g],SELENIUM (GAS),1465
Se6[g],SELENIUM (GAS),1466
Se7[g],SELENIUM (GAS),1467
Se8[g],SELENIUM (GAS),1468
SeBr2[g],SELENIUM DIBROMIDE (GAS),1469
Se2Br2[g],DISELENIUM DIBROMIDE (GAS),1470
SeCl2[g],SELENIUM DICHLORIDE (GAS),1471
SeCl4,SELENIUM TETRACHLORIDE,1471
Se2Cl2,DISELENIUM DICHLORIDE,1472
Se2Cl2[g],DISELENIUM DICHLORIDE (GAS),1472
SeF[g],SELENIUM FLUORIDE (GAS),1473
SeF2[g],SELENIUM DIFLUORIDE (GAS),1474
SeF4[g],SELENIUM TETRAFLUORIDE (GAS),1475
SeF5[g],SELENIUM PENTAFLUORIDE (GAS),1476
SeF6[g],SELENIUM HEXAFLUORIDE (GAS),1477
SeO[g],SELENIUM OXIDE (GAS),1478
SeO2,SELENIUM DIOXIDE,1478
SeO2[g],SELENIUM DIOXIDE (GAS),1479
Si,SILICON,1480
Si[g],SILICON (GAS),1481
Si2[g],SILICON (GAS),1482
Si3[g],SILICON (GAS),1483
SiBr[g],SILICON MONOBROMIDE (GAS),1484
SiBr2[g],SILICON DIBROMIDE (GAS),1485
SiBr3[g],SILICON TRIBROMIDE (GAS),1486
SiBr4,SILICON TETRABROMIDE,1486
SiBr4[g],SILICON TETRABROMIDE (GAS),1487
SiC,SILICON CARBIDE (CUBIC),1488
SiCl[g],SILICON CHLORIDE (GAS),1489
SiCl2[g],SILICON DICHLORIDE (GAS),1490
SiCl3[g],SILICON TRICHLORIDE (GAS),1491
SiCl4[g],SILICON TETRACHLORIDE (GAS),1492
SiF[g],SILICON FLUORIDE (GAS),1493
SiF2[g],SILICON DIFLUORIDE (GAS),1494
SiF3[g],SILICON TRIFLUORIDE (GAS),1495
SiF4[g],SILICON TETRAFLUORIDE (GAS),1496
SiH[g],SILICON HYDRIDE (GAS),1497
SiH4[g],SILANE (GAS),1498
Si2H6[g],DISILANE (GAS),1498
SiI[g],SILICON IODIDE (GAS),1499
SiI2[g],SILICON DIIODIDE (GAS),1500
SiI3[g],SILICON TRIIODIDE (GAS),1501
SiI4,SILICON TETRAIODIDE,1501
SiI4[g],SILICON TETRAIODIDE (GAS),1502
Si3N4,TRISILICON TETRANITRIDE (ALPHA),1503
SiO[g],SILICON OXIDE (GAS),1504
SiO2,SILICON DIOXIDE,1505
SiO2[CR],SILICON DIOXIDE (CRISTOBALITE),1506
SiOF2[g],SILICON DIFLUORIDE OXIDE (GAS),1506
SiP,SILICON PHOSPHIDE,1507
SiS[g],SILICON SULFIDE (GAS),1507
SiS2,SILICON DISULFIDE,1508
SiSe[g],SILICON SELENIDE (GAS),1509
SiTa2,SILICON 2-TANTALUM,1510
Si2Ta,2-SILICON TANTALUM,1511
Si3Ta5,3-SILICON 5-TANTALUM,1512
SiTh,SILICON THORIUM,1513
Si2Th,2-SILICON THORIUM,1514
Si2Th3,2-SILICON 3-THORIUM,1515
Si5Th3,5-SILICON 3-THORIUM,1516
SiTi,SILICON TITANIUM,1517
Si2Ti,2-SILICON TITANIUM,1518
Si3Ti5,3-SILICON 5-TITANIUM,1519
SiU,SILICON URANIUM,1520
SiU3,SILICON 3-URANIUM,1520
Si2U,2-SILICON URANIUM,1521
Si2U3,2-SILICON 3-URANIUM,1522
Si3U,3-SILICON URANIUM,1523
Si5U3,5-SILICON 3-URANIUM,1524
SiV3,SILICON 3-VANADIUM,1524
Si2V,2-SILICON VANADIUM,1525
Si3V5,3-SILICON 5-VANADIUM,1526
Si2W,2-SILICON TUNGSTEN,1527
Si3W5,3-SILICON 5-TUNGSTEN,1528
SiZr,SILICON ZIRCONIUM,1529
SiZr2,SILICON 2-ZIRCONIUM,1529
Si2Zr,2-SILICON ZIRCONIUM,1530
Si3Zr5,3-SILICON 5-ZIRCONIUM,1530
Sm,SAMARIUM,1531
Sm[g],SAMARIUM (GAS),1532
SmC2,SAMARIUM DICARBIDE,1533
SmCl2,SAMARIUM DICHLORIDE,1533
SmCl3,SAMARIUM TRICHLORIDE,1534
Sm2O3,DISAMARIUM TRIOXIDE (CUBIC),1534
Sm2O3[M],DISAMARIUM TRIOXIDE (MONOCLINIC),1535
SmOF,SAMARIUM FLUORIDE OXIDE,1536
Sm2Zr2O7,DISAMARIUM DIZIRCONIUM HEPTAOXIDE,1537
Sn,TIN (WHITE),1538
Sn[g],TIN (GAS),1539
Sn3(AsO4)2,TRITIN ARSENATE,1540
SnBr2,TIN DIBROMIDE,1540
SnBr4,TIN TETRABROMIDE,1541
SnBr4[g],TIN TETRABROMIDE (GAS),1541
SnCl[g],TIN MONOCHLORIDE (GAS),1542
SnCl2,TIN DICHLORIDE,1542
SnCl2[g],TIN DICHLORIDE (GAS),1543
SnCl4,TIN TETRACHLORIDE,1543
SnCl4[g],TIN TETRACHLORIDE (GAS),1544
SnF[g],TIN MONOFLUORIDE (GAS),1544
SnF2,TIN DIFLUORIDE,1545
SnF2[g],TIN DIFLUORIDE (GAS),1545
SnH4[g],TIN TETRAHYDRIDE (GAS),1546
SnI2,TIN DIIODIDE,1546
SnI2[g],TIN DIIODIDE (GAS),1547
SnI4,TIN TETRAIODIDE,1547
SnI4[g],TIN TETRAIODIDE (GAS),1548
Sn2I4[g],DITIN TETRAIODIDE (GAS),1548
SnO,TIN MONOXIDE,1549
SnO[g],TIN MONOXIDE (GAS),1549
SnO2,TIN DIOXIDE,1550
SnS,TIN MONOSULFIDE,1551
SnS[g],TIN MONOSULFIDE (GAS),1552
SnS2,TIN DISULFIDE,1552
Sn2S3,DITIN TRISULFIDE,1553
Sn3S4,TRITIN TETRASULFIDE,1553
SnSO4,TIN MONOSULFATE,1554
Sn(SO4)2,TIN DISULFATE,1554
SnSe,TIN MONOSELENIDE,1555
SnSe[g],TIN MONOSELENIDE (GAS),1555
SnSe2,TIN DISELENIDE,1556
SnTe,TIN MONOTELLURIDE,1556
SnTe[g],TIN MONOTELLURIDE (GAS),1557
Sr,STRONTIUM,1558
Sr[g],STRONTIUM (GAS),1559
Sr3(AsO4)2,STRONTIUM ARSENATE,1560
SrBr[g],STRONTIUM MONOBROMIDE (GAS),1561
SrBr2,STRONTIUM BROMIDE,1562
SrBr2[g],STRONTIUM BROMIDE (GAS),1563
SrC2,STRONTIUM DICARBIDE,1564
SrCO3,STRONTIUM CARBONATE,1564
SrCl[g],STRONTIUM MONOCHLORIDE (GAS),1565
SrCl2,STRONTIUM CHLORIDE,1566
SrCl2[g],STRONTIUM CHLORIDE (GAS),1567
SrF2,STRONTIUM FLUORIDE,1568
SrH2,STRONTIUM HYDRIDE,1569
SrI2,STRONTIUM IODIDE,1570
SrI2[g],STRONTIUM IODIDE (GAS),1571
SrMoO4,STRONTIUM MOLYBDATE,1572
Sr3N2,TRISTRONTIUM DINITRIDE,1572
SrO,STRONTIUM OXIDE,1573
SrO2,STRONTIUM PEROXIDE,1574
SrAl2O4,STRONTIUM DIALUMINIUM TETRAOXIDE,1574
SrOH[g],STRONTIUM MONOHYDROXIDE (GAS),1575
Sr(OH)2,STRONTIUM HYDROXIDE,1576
Sr(OH)2[g],STRONTIUM HYDROXIDE (GAS),1577
SrSiO3,STRONTIUM METASILICATE,1578
Sr2SiO4,STRONTIUM ORTHOSILICATE,1578
SrTiO3,STRONTIUM TITANIUM TRIOXIDE,1579
Sr2TiO4,DISTRONTIUM TITANIUM TETRAOXIDE,1580
Sr4Ti3O10,TETRASTRONTIUM TRITITANIUM DECAOXIDE,1581
SrZrO3,STRONTIUM ZIRCONIUM TRIOXIDE,1582
SrS,STRONTIUM SULFIDE,1583
SrS[g],STRONTIUM SULFIDE (GAS),1584
SrSO4,STRONTIUM SULFATE,1585
SrWO4,STRONTIUM TUNGSTATE,1586
Ta,TANTALUM,1587
Ta[g],TANTALUM (GAS),1589
TaB2,TANTALUM DIBORIDE,1591
TaBr5,TANTALUM PENTABROMIDE,1592
TaBr5[g],TANTALUM PENTABROMIDE (GAS),1592
TaC,TANTALUM MONOCARBIDE,1593
Ta2C,DITANTALUM CARBIDE,1594
TaCl[g],TANTALUM MONOCHLORIDE (GAS),1595
TaCl2[g],TANTALUM DICHLORIDE (GAS),1595
TaCl2.5,TANTALUM 2.5-CHLORIDE,1596
TaCl3,TANTALUM TRICHLORIDE,1596
TaCl3[g],TANTALUM TRICHLORIDE (GAS),1597
TaCl4,TANTALUM TETRACHLORIDE,1597
TaCl4[g],TANTALUM TETRACHLORIDE (GAS),1598
TaCl5,TANTALUM PENTACHLORIDE,1598
TaCl5[g],TANTALUM PENTACHLORIDE (GAS),1599
TaF5,TANTALUM PENTAFLUORIDE,1599
TaI5,TANTALUM PENTAIODIDE,1600
TaF5[g],TANTALUM PENTAFLUORIDE (GAS),1600
TaI5[g],TANTALUM PENTAIODIDE (GAS),1601
TaN,TANTALUM MONONITRIDE,1602
Ta2N,DITANTALUM NITRIDE,1603
TaO[g],TANTALUM MONOXIDE (GAS),1604
TaO2[g],TANTALUM DIOXIDE (GAS),1605
Ta2O5,DITANTALUM PENTOXIDE,1606
TaOCl3,TANTALUM TRICHLORIDE OXIDE,1607
TaOCl3[g],TANTALUM TRICHLORIDE OXIDE (GAS),1607
TaO2Cl,TANTALUM CHLORIDE DIOXIDE,1608
TaS[g],TANTALUM MONOSULFIDE (GAS),1608
TaS2,TANTALUM DISULFIDE,1609
Tb,TERBIUM,1610
Tb[g],TERBIUM (GAS),1611
TbBr3[g],TERBIUM TRIBROMIDE (GAS),1612
TbCl3,TERBIUM TRICHLORIDE,1613
TbCl3[g],TERBIUM TRICHLORIDE (GAS),1614
TbO1.72,TERBIUM 1.72-OXIDE,1614
TbO1.81,TERBIUM 1.81-OXIDE,1615
TbO2,TERBIUM DIOXIDE,1615
Tb2O3,DITERBIUM TRIOXIDE,1616
TbS[g],TERBIUM SULFIDE (GAS),1617
TbSe[g],TERBIUM SELENIDE (GAS),1618
TbTe[g],TERBIUM TELLURIDE (GAS),1619
Tc,TECHNETIUM,1620
Tc[g],TECHNETIUM (GAS),1622
TcO2,TECHNETIUM DIOXIDE,1623
TcO3,TECHNETIUM TRIOXIDE,1623
Tc2O7,DITECHNETIUM HEPTAOXIDE,1624
Tc2O7[g],DITECHNETIUM HEPTAOXIDE (GAS),1624
Te,TELLURIUM,1625
Te[g],TELLURIUM (GAS),1626
Te2[g],TELLURIUM (GAS),1627
TeBr4,TELLURIUM TETRABROMIDE,1627
TeCl2[g],TELLURIUM DICHLORIDE (GAS),1628
TeCl4,TELLURIUM TETRACHLORIDE,1628
TeCl4[g],TELLURIUM TETRACHLORIDE (GAS),1629
TeF[g],TELLURIUM MONOFLUORIDE (GAS),1630
TeF2[g],TELLURIUM DIFLUORIDE (GAS),1631
TeF4[g],TELLURIUM TETRAFLUORIDE (GAS),1632
TeF5[g],TELLURIUM PENTAFLUORIDE (GAS),1633
TeF6[g],TELLURIUM HEXAFLUORIDE (GAS),1634
TeO[g],TELLURIUM MONOXIDE (GAS),1635
TeO2,TELLURIUM DIOXIDE,1636
TeO2[g],TELLURIUM DIOXIDE (GAS),1637
Te2O2[g],DITELLURIUM DIOXIDE (GAS),1638
Th,THORIUM,1639
Th[g],THORIUM (GAS),1641
ThBr4,THORIUM TETRABROMIDE,1642
ThBr4[g],THORIUM TETRABROMIDE (GAS),1643
ThC1.94,THORIUM 1.94-CARBIDE,1644
ThCl4,THORIUM TETRACHLORIDE,1645
ThCl4[g],THORIUM TETRACHLORIDE (GAS),1646
ThF2[g],THORIUM DIFLUORIDE (GAS),1647
ThF3[g],THORIUM TRIFLUORIDE (GAS),1648
ThF4,THORIUM TETRAFLUORIDE,1649
ThF4[g],THORIUM TETRAFLUORIDE (GAS),1650
ThH2,THORIUM DIHYDRIDE,1650
ThI4,THORIUM TETRAIODIDE,1651
