Formula,Name,Page number
BiF[g],BISMUTH MONOFLUORIDE (GAS),196
BiF3,BISMUTH FLUORIDE,197
BiF3[g],BISMUTH FLUORIDE (GAS),197
BiI,BISMUTH MONOIODIDE,198
BiI[g],BISMUTH MONOIODIDE (GAS),198
BiI3,BISMUTH IODIDE,199
BiI3[g],BISMUTH IODIDE (GAS),199
BiK3,BISMUTH 3-POTASSIUM,200
BiMn,BISMUTH MANGANESE,200
BiNi,BISMUTH NICKEL,201
Bi2O3,BISMUTH OXIDE,202
BiOCl,BISMUTH CHLORIDE OXIDE,202
Bi2S3,BISMUTH SULFIDE,203
Bi2(SO4)3,BISMUTH SULFATE,203
Bi2Se3,BISMUTH SELENIDE,204
Bi2Te3,BISMUTH TELLURIDE,204
BiU,BISMUTH URANIUM,205
Bi2U,2-BISMUTH URANIUM,205
Bi4U3,4-BISMUTH 3-URANIUM,206
Br[g],BROMINE (GAS),207
Br2,BROMINE,207
Br2[g],BROMINE (GAS),208
C,CARBON (GRAPHITE),209
C[g],CARBON (GAS),210
C2[g],CARBON (GAS),212
C3[g],CARBON (GAS),213
CBr[g],BROMOMETHYLIDYNE (GAS),214
CBr2[g],CARBON DIBROMIDE (GAS),215
CBr3[g],CARBON TRIBROMIDE (GAS),216
CBr4[g],TETRABROMOMETHANE (GAS),217
CBrI3[g],BROMOTRIIODOMETHANE (GAS),218
CBr2I2[g],DIBROMODIIODOMETHANE (GAS),219
CBr3I[g],TRIBROMOIODOMETHANE (GAS),220
CCN[g],CARBON CARBIDE-NITRIDE (GAS),221
CCl[g],CHLOROMETHYLIDYNE (GAS),222
CCl2[g],DICHLOROMETHYLENE (GAS),223
CCl3[g],TRICHLOROMETHYL (GAS),224
CCl4,TETRACHLOROMETHANE,224
CCl4[g],TETRACHLOROMETHANE (GAS),225
C2Cl[g],DICARBON CHLORIDE (GAS),226
C2Cl2[g],DICHLOROACETYLENE (GAS),227
C2Cl3[g],DICARBON TRICHLORIDE (GAS),228
C2Cl4[g],TETRACHLOROETHENE (GAS),229
C2Cl5[g],PENTACHLOROETHYL (GAS),230
C2Cl6[g],HEXACHLOROETHANE (GAS),231
CClBr3[g],CHLOROTRIBROMOMETHANE (GAS),232
CCl2Br2[g],DICHLORODIBROMOMETHANE (GAS),233
CCl3Br[g],TRICHLOROBROMOMETHANE (GAS),234
CClBrI2[g],CHLOROBROMODIIODOMETHANE (GAS),235
CClBr2I[g],CHLORODIBROMOIODOMETHANE (GAS),236
CCl2BrI[g],DICHLOROBROMOIODOMETHANE (GAS),237
CClI3[g],CHLOROTRIIODOMETHANE (GAS),238
CCl2I2[g],DICHLORODIIODOMETHANE (GAS),239
